Height,Year
2.4813840597318704,2026.0
1.9271979230909437,2046.0
1.9211799606198743,2056.0
2.423189956593691,2061.0
2.1550529063031933,2067.0
2.066678162912857,2069.0
2.0468491773429083,2070.0
1.947332486956962,2074.0
1.9031221936652076,2075.0
1.9723337441171145,2078.0
3.481554505706811,2080.0
2.0104085672304954,2081.0
2.023551014800075,2083.0
2.0901924059218966,2083.0
1.9281092455937365,2086.0
1.9198691173420563,2088.0
2.015995570186073,2089.0
1.9169538199483367,2089.0
2.026434932388688,2090.0
1.9997308268564475,2090.0
2.5328481360992154,2090.0
2.1014004863667735,2092.0
2.807047366496594,2092.0
1.9611758715534626,2097.0
2.6931836927349573,2098.0
